epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,18486.4,1.06667,4.03439,0.30817,0.82663,1.17992,0.92217,0.95773,0.96657,0.6703,0.90286,0.93862,0.93506,0.25742,1.0738,3.13047,0.17211,0.65352,1.25763,0.00108913,0.00108913,0.00108913
41,18917.7,1.0759,4.03863,0.301,0.8366,1.18747,0.90178,0.94644,0.96603,0.66557,0.88771,0.93246,0.95062,0.27368,1.11347,3.02446,0.16968,0.66302,1.27053,0.001085,0.001085,0.001085
42,19362.8,1.02345,3.87464,0.27908,0.76918,1.15114,0.86328,0.99479,0.96135,0.69295,0.79854,0.92575,0.86367,0.26117,1.01743,3.00657,0.15144,0.62773,1.21872,0.00108088,0.00108088,0.00108088
43,19797.5,1.03709,3.96958,0.26777,0.77317,1.17124,0.86149,1,0.94162,0.66659,0.85283,0.99106,0.93156,0.30376,1.06712,2.8999,0.12308,0.62399,1.2819,0.00107675,0.00107675,0.00107675
44,20233.2,1.05536,3.85035,0.27652,0.78354,1.1746,0.84453,0.9635,0.93418,0.61897,0.79304,0.88675,0.86365,0.22666,1.09066,3.37919,0.11318,0.65466,1.37962,0.00107263,0.00107263,0.00107263
45,20673,1.0223,4.03284,0.27443,0.79689,1.17939,0.8667,0.91379,0.91423,0.63507,0.78694,0.82654,0.81109,0.20231,1.04327,3.23485,0.13825,0.65901,1.28326,0.0010685,0.0010685,0.0010685
46,21112,1.04109,3.78546,0.2469,0.79319,1.17967,0.8998,0.97794,0.96981,0.68314,0.86211,0.93775,0.91441,0.28927,1.02403,2.99754,0.12111,0.62969,1.25292,0.00106437,0.00106437,0.00106437
47,21545.5,1.04187,3.83258,0.26979,0.7852,1.19007,0.86031,0.975,0.96107,0.6908,0.84145,0.95564,0.94085,0.29602,1.00704,3.04198,0.13639,0.597,1.25459,0.00106025,0.00106025,0.00106025
48,21983,1.07119,3.86987,0.25897,0.783,1.2179,0.84642,1,0.94127,0.66556,0.80696,0.95981,0.89055,0.24095,1.08078,3.11581,0.13372,0.606,1.3411,0.00105612,0.00105612,0.00105612
49,22418.7,1.02362,3.76816,0.26941,0.74901,1.15638,0.89239,1,0.96711,0.68807,0.87842,0.98585,0.95353,0.29907,1.01011,2.99095,0.12581,0.60213,1.22063,0.001052,0.001052,0.001052
50,22849.1,1.04963,3.85253,0.24633,0.73974,1.17752,0.91624,0.97834,0.97313,0.71162,0.90751,0.9694,0.96474,0.28581,1.00217,3.01693,0.11268,0.57209,1.21055,0.00104787,0.00104787,0.00104787
51,23279.4,1.05712,3.73684,0.23529,0.76749,1.17036,0.93508,0.96186,0.96635,0.68975,0.9062,0.93208,0.92214,0.31803,0.98814,2.88424,0.11636,0.60131,1.17214,0.00104375,0.00104375,0.00104375
52,23716.4,1.05578,3.76647,0.25504,0.72045,1.16034,0.92514,0.98338,0.97862,0.69839,0.90627,0.96402,0.95167,0.30109,1.05147,2.87152,0.10783,0.59324,1.28566,0.00103962,0.00103962,0.00103962
53,24141.5,1.05063,3.87271,0.25915,0.77849,1.18225,0.93706,0.96927,0.98021,0.69948,0.9243,0.95644,0.96706,0.36125,1.00945,2.7727,0.13063,0.59943,1.22252,0.0010355,0.0010355,0.0010355
54,24573.1,1.05417,3.84691,0.26159,0.75984,1.18007,0.93624,0.97794,0.96955,0.66062,0.91699,0.95858,0.94749,0.32619,1.0637,2.89649,0.11608,0.59186,1.30006,0.00103138,0.00103138,0.00103138
55,24997.6,1.04218,3.79381,0.2444,0.74532,1.19681,0.91292,0.99278,0.96358,0.6821,0.87837,0.92814,0.90642,0.22238,1.06146,3.29847,0.1333,0.56743,1.23899,0.00102725,0.00102725,0.00102725
56,25422.8,1.03378,3.83061,0.23704,0.75834,1.17816,0.92054,0.95496,0.96825,0.67638,0.86449,0.89766,0.89089,0.24799,1.04976,3.05875,0.12708,0.58019,1.24643,0.00102312,0.00102312,0.00102312
57,25847.1,1.04312,3.76182,0.24396,0.73611,1.17238,0.91602,0.98172,0.96817,0.6923,0.90258,0.96778,0.9547,0.29698,1.03535,3.03012,0.09755,0.56595,1.23261,0.001019,0.001019,0.001019
58,26271.4,1.06754,3.90856,0.24377,0.75273,1.19172,0.88848,0.94544,0.95448,0.66034,0.86413,0.91715,0.91553,0.30519,1.06058,2.97974,0.10605,0.64652,1.32257,0.00101488,0.00101488,0.00101488
59,26699.4,1.01583,3.74294,0.23451,0.72098,1.15531,0.94444,0.96432,0.96362,0.69867,0.91959,0.93976,0.92247,0.31611,1.01197,2.83194,0.09521,0.57905,1.2432,0.00101075,0.00101075,0.00101075
60,27130.5,1.02083,3.82376,0.22201,0.7052,1.17461,0.92891,0.94646,0.97996,0.70089,0.91465,0.93231,0.95774,0.33321,1.0111,2.80719,0.09279,0.57539,1.23556,0.00100663,0.00100663,0.00100663
61,27559.4,0.98738,3.78715,0.24025,0.71055,1.15129,0.94662,0.98529,0.97557,0.70179,0.93264,0.97115,0.96094,0.29989,1.00645,2.99468,0.10923,0.55738,1.22827,0.0010025,0.0010025,0.0010025
62,27993.1,1.04053,3.69421,0.23812,0.72291,1.17546,0.95209,0.98549,0.98221,0.71794,0.9379,0.97134,0.96234,0.31481,0.97984,2.97885,0.11361,0.53487,1.20153,0.000998375,0.000998375,0.000998375
63,28419.3,1.05157,3.7363,0.23366,0.70612,1.17318,0.94107,0.99636,0.97902,0.71241,0.88886,0.93957,0.87616,0.25444,0.98503,3.02503,0.13356,0.57763,1.17878,0.00099425,0.00099425,0.00099425
